Date Opened,Change Control,Days Open,Year
10/12/2020,20001,1,01/01/20
10/12/2020,20002,136,01/01/20
10/12/2020,20003,22,01/01/20
10/13/2020,20004,1,01/01/20
10/15/2020,20005,0,01/01/20
10/15/2020,20006,1,01/01/20
10/19/2020,20007,0,01/01/20
10/21/2020,20008,0,01/01/20
10/23/2020,20009,0,01/01/20
10/23/2020,20010,3,01/01/20
10/28/2020,20011,0,01/01/20
10/28/2020,20012,7,01/01/20
10/30/2020,20013,3,01/01/20
11/4/2020,20014,1,01/01/20
11/5/2020,20015,1,01/01/20
11/9/2020,20016,0,01/01/20
11/11/2020,20017,0,01/01/20
11/11/2020,20018,1,01/01/20
11/12/2020,20019,1,01/01/20
11/16/2020,20020,1,01/01/20
11/17/2020,20021,1,01/01/20
11/18/2020,20022,0,01/01/20
11/18/2020,20023,0,01/01/20
11/19/2020,20024,0,01/01/20
11/20/2020,20025,0,01/01/20
11/23/2020,20026,0,01/01/20
11/23/2020,20027,0,01/01/20
11/24/2020,20028,0,01/01/20
11/24/2020,20029,0,01/01/20
11/30/2020,20030,2,01/01/20
11/30/2020,20031,3,01/01/20
11/30/2020,20032,3,01/01/20
12/1/2020,20033,0,01/01/20
12/1/2020,20034,2,01/01/20
12/1/2020,20035,1,01/01/20
12/2/2020,20036,1,01/01/20
12/3/2020,20037,0,01/01/20
12/4/2020,20038,0,01/01/20
12/4/2020,20039,0,01/01/20
12/9/2020,20040,0,01/01/20
12/9/2020,20041,2,01/01/20
12/9/2020,20042,2,01/01/20
12/9/2020,20043,2,01/01/20
12/9/2020,20044,2,01/01/20
12/10/2020,20045,0,01/01/20
12/11/2020,20046,3,01/01/20
12/14/2020,20047,1,01/01/20
12/14/2020,20048,1,01/01/20
12/17/2020,20049,0,01/01/20
12/18/2020,20050,3,01/01/20
12/21/2020,20051,1,01/01/20
12/21/2020,20052,8,01/01/20
12/22/2020,20053,1,01/01/20
12/23/2020,20054,0,01/01/20
12/23/2020,20055,0,01/01/20
12/23/2020,20056,0,01/01/20
12/29/2020,20057,0,01/01/20
12/30/2020,20058,5,01/01/20
12/31/2020,20059,4,01/01/20
1/4/2021,21060,1,01/01/21
1/4/2021,21060,1,01/01/21
1/4/2021,21061,1,01/01/21
1/5/2021,21062,0,01/01/21
1/5/2021,21063,0,01/01/21
1/6/2021,21064,0,01/01/21
1/6/2021,21065,0,01/01/21
1/6/2021,21066,0,01/01/21
1/6/2021,21067,0,01/01/21
1/6/2021,21068,0,01/01/21
1/7/2021,21069,6,01/01/21
1/7/2021,21070,0,01/01/21
1/8/2021,21071,0,01/01/21
1/8/2021,21072,0,01/01/21
1/8/2021,21073,0,01/01/21
1/8/2021,21074,0,01/01/21
1/8/2021,21075,0,01/01/21
1/11/2021,21076,0,01/01/21
1/11/2021,21077,0,01/01/21
1/12/2022,21078,0,01/01/22
1/13/2021,21079,20,01/01/21
1/14/2021,21080,0,01/01/21
1/14/2021,21081,6,01/01/21
1/15/2021,21082,5,01/01/21
1/18/2021,21083,2,01/01/21
1/19/2021,21084,1,01/01/21
1/20/2021,21085,0,01/01/21
1/21/2021,21086,4,01/01/21
1/21/2021,21087,4,01/01/21
1/22/2021,21088,0,01/01/21
1/22/2021,21089,3,01/01/21
1/25/2021,21090,0,01/01/21
1/25/2021,21091,0,01/01/21
1/25/2021,21092,1,01/01/21
1/27/2021,21093,0,01/01/21
1/27/2021,21094,1,01/01/21
1/27/2021,21095,1,01/01/21
1/28/2021,21096,0,01/01/21
1/29/2021,21097,0,01/01/21
2/1/2021,21098,1,01/01/21
2/3/2021,21099,0,01/01/21
2/4/2021,21100,0,01/01/21
2/4/2021,21101,1,01/01/21
2/9/2021,21102,1,01/01/21
2/10/2021,21103,1,01/01/21
2/10/2021,21104,1,01/01/21
2/11/2021,21105,5,01/01/21
2/11/2021,21106,5,01/01/21
2/11/2021,21107,5,01/01/21
2/12/2021,21108,4,01/01/21
2/16/2021,21109,0,01/01/21
2/16/2021,21110,1,01/01/21
2/16/2021,21111,1,01/01/21
2/17/2021,21112,1,01/01/21
2/18/2021,21113,0,01/01/21
2/23/2021,21114,2,01/01/21
2/25/2021,21115,0,01/01/21
2/25/2021,21116,0,01/01/21
2/25/2021,21117,1,01/01/21
2/26/2021,21118,3,01/01/21
3/3/2021,21119,1,01/01/21
3/3/2021,21120,1,01/01/21
3/4/2021,21121,0,01/01/21
3/4/2021,21122,0,01/01/21
3/4/2021,21123,7,01/01/21
3/5/2021,21124,3,01/01/21
3/8/2021,21125,0,01/01/21
3/8/2021,21126,9,01/01/21
3/8/2021,21127,1,01/01/21
3/8/2021,21128,1,01/01/21
3/9/2021,21129,1,01/01/21
3/9/2021,21130,0,01/01/21
3/12/2021,21131,3,01/01/21
3/16/2021,21132,1,01/01/21
3/18/2021,21133,1,01/01/21
3/18/2021,21134,5,01/01/21
3/18/2021,21135,1,01/01/21
3/18/2021,21136,5,01/01/21
3/19/2021,21137,4,01/01/21
3/19/2021,21138,4,01/01/21
3/19/2021,21139,4,01/01/21
3/22/2021,21140,2,01/01/21
3/22/2021,21141,1,01/01/21
3/23/2021,21142,0,01/01/21
3/23/2021,21143,1,01/01/21
3/23/2021,21144,1,01/01/21
3/23/2021,21145,7,01/01/21
3/25/2021,21146,6,01/01/21
3/26/2021,21147,0,01/01/21
3/29/2021,21148,2,01/01/21
3/29/2021,21149,2,01/01/21
3/29/2021,21150,1,01/01/21
3/30/2021,21151,1,01/01/21
3/30/2021,21152,1,01/01/21
3/31/2021,21153,1,01/01/21
3/31/2021,21154,1,01/01/21
4/2/2021,21155,0,01/01/21
4/2/2021,21156,0,01/01/21
4/2/2021,21157,0,01/01/21
4/5/2021,21158,0,01/01/21
4/5/2021,21159,1,01/01/21
4/6/2021,21160,0,01/01/21
4/7/2021,21161,1,01/01/21
4/7/2021,21162,1,01/01/21
4/8/2021,21163,1,01/01/21
4/9/2021,21164,6,01/01/21
4/15/2021,21165,0,01/01/21
4/15/2021,21166,0,01/01/21
4/15/2021,21167,0,01/01/21
4/15/2021,21168,0,01/01/21
4/15/2021,21169,4,01/01/21
4/15/2021,21170,4,01/01/21
4/19/2021,21171,0,01/01/21
4/19/2021,21172,0,01/01/21
4/20/2021,21173,0,01/01/21
4/20/2021,21174,0,01/01/21
4/20/2021,21175,0,01/01/21
4/20/2021,21176,0,01/01/21
4/21/2021,21177,2,01/01/21
4/23/2021,21178,3,01/01/21
4/23/2021,21179,3,01/01/21
